127.0.0.1 - - [22/Nov/2021:17:25:24 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Nov/2021:17:25:25 +0900] "GET /web02/javascript/ex01.html HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [22/Nov/2021:17:27:53 +0900] "GET /web02/javascript/ex01.html HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [22/Nov/2021:17:27:58 +0900] "GET /web02/javascript/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2021:17:31:04 +0900] "GET /web02/javascript/ex01.html HTTP/1.1" 200 417
0:0:0:0:0:0:0:1 - - [22/Nov/2021:17:32:01 +0900] "GET /web02/javascript/ex01.html HTTP/1.1" 200 405
0:0:0:0:0:0:0:1 - - [22/Nov/2021:17:32:01 +0900] "GET /web02/javascript/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2021:17:32:01 +0900] "GET /web02/javascript/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2021:17:32:01 +0900] "GET /web02/javascript/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2021:17:32:01 +0900] "GET /web02/javascript/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2021:17:32:01 +0900] "GET /web02/javascript/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2021:17:32:01 +0900] "GET /web02/javascript/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2021:17:32:56 +0900] "GET /web02/javascript/ex01.html HTTP/1.1" 200 405
0:0:0:0:0:0:0:1 - - [22/Nov/2021:17:33:45 +0900] "GET /web02/javascript/ex01.html HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [22/Nov/2021:17:33:45 +0900] "GET /web02/javascript/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2021:17:33:45 +0900] "GET /web02/javascript/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2021:17:33:45 +0900] "GET /web02/javascript/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2021:17:33:45 +0900] "GET /web02/javascript/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2021:17:33:45 +0900] "GET /web02/javascript/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2021:17:33:45 +0900] "GET /web02/javascript/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2021:17:33:46 +0900] "GET /web02/javascript/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2021:17:33:46 +0900] "GET /web02/javascript/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2021:17:33:46 +0900] "GET /web02/javascript/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2021:17:33:46 +0900] "GET /web02/javascript/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2021:17:33:46 +0900] "GET /web02/javascript/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2021:17:33:46 +0900] "GET /web02/javascript/ex01.html HTTP/1.1" 304 -
